Feature,Mean_Absolute_SHAP
F377,0.0037869927909955216
F574,0.003754855348570346
F685,0.0037505545894000593
F439,0.003747467922102906
F1696,0.0037384398548724464
F1437,0.003728815562715216
F352,0.0037230910665281263
F2374,0.003694165852123887
F600,0.003661847258540853
F706,0.0036581431546067844
F2012,0.003644505603898096
F458,0.003642902252219316
F418,0.0036033865611181833
F1399,0.0035951893960914165
F157,0.003582165407269903
F213,0.0035507776188512907
F1679,0.003529249498473705
F1799,0.003527625702075824
F47,0.0035249856036981
F263,0.0035214012853323658
F325,0.0035193757973249608
F734,0.0035067864598651234
F201,0.0034936832044853545
F229,0.0034922876478931187
F2179,0.0034880058336011566
F104,0.0034849502883928115
F829,0.0034748192070619206
F77,0.0034678666078010053
F1906,0.0034644032604813635
F1306,0.003449737251044658
F863,0.0034356560748681204
F510,0.003434846583147075
F615,0.0034285994692290645
F611,0.0034199706251952767
F215,0.0034094011681586557
F243,0.0034026137415097755
F1470,0.0033971501229914745
F580,0.0033762703039396783
F2090,0.0033760833412494477
F17,0.0033759287457630184
F1626,0.0033748380030318615
F389,0.00337374156799319
F688,0.003370324158599832
F2301,0.0033456153100323194
F1753,0.0033286224930745545
F318,0.00331013231869915
F102,0.0032971107036482523
F178,0.003294098751456985
F146,0.0032881615104709484
F2265,0.0032879432475101784
F251,0.003280404760202655
F2359,0.0032775155780124954
F2057,0.0032763568745122567
F959,0.0032671687297471546
F442,0.003266248454164577
F1919,0.0032642174609997694
F1529,0.003256617447417771
F2014,0.0032361000655350726
F1025,0.0032130661579153415
F476,0.0032077305954508663
F1364,0.0032021184831228133
F258,0.003187196954186676
F1050,0.003156000681732066
F1566,0.0031519670833670154
F85,0.003141823386214657
F449,0.003141058510911484
F1237,0.0031350936785452064
F2059,0.0031348765523898105
F1928,0.003121891194223768
F1074,0.0031206917306277667
F736,0.0031049501758046044
F1824,0.003098423227728283
F79,0.003077907474020827
F440,0.003066671722328339
F1218,0.0030547724061410287
F782,0.003041655547551565
F1418,0.00304062178326186
F330,0.0030356475521017066
F355,0.0030330773953844386
F74,0.00302890653034058
F2031,0.003017157816637561
F143,0.0030149725823977263
F115,0.0030044117567347866
F434,0.002989621066361097
F454,0.0029768794195844687
F468,0.002957262649031341
F481,0.0029553914778477856
F558,0.0029472496793631186
F2058,0.002934019368451781
F260,0.002927256553061489
F825,0.0029268097351910697
F982,0.002901960716059193
F279,0.0028957482139028647
F1850,0.002879278902309426
F59,0.0028766066141460633
F2035,0.002874324400737814
F563,0.0028488331274720445
F155,0.0028483488634304917
F1941,0.0028388615827281494
F1778,0.0028305290636066725
F326,0.002830405192154396
F204,0.002817591759376558
F364,0.0028162756389409427
F19,0.002812213722288853
F987,0.002795592155277364
F806,0.002790121779369902
F1781,0.002783435322576641
F448,0.002778994231593882
F800,0.0027758675077528532
F1857,0.0027746273629181083
F341,0.0027576752072280396
F2169,0.002735553973171666
F207,0.0027340243706004148
F1918,0.0027271295837474705
F409,0.0027001885514832996
F2173,0.002696476994263095
F2085,0.0026883962856712497
F478,0.0026854426566805777
F480,0.002682841735392666
F91,0.002681218003934544
F2064,0.002676693333837822
F1251,0.0026645565093491048
F306,0.002652827452272091
F181,0.0026365971852855084
F122,0.0026357277348916914
F365,0.0026125378676295622
F539,0.002591789215783684
F314,0.0025894930373955823
F344,0.002585718133940306
F1899,0.002583408393750228
F421,0.0025774112890995806
F463,0.002575544619917836
F304,0.002569585728033273
F457,0.002569216237771662
F446,0.0025685810754202463
F253,0.0025452267680145997
F12,0.0025402625894814248
F451,0.0025362680352408263
F382,0.0025337974582010266
F1846,0.002530106284054211
F828,0.0025271488890953463
F1400,0.0025248989905625476
F444,0.0025144625321753306
F192,0.002477264953670163
F40,0.0024732123017632114
F405,0.0024699053974944324
F137,0.002466328949923269
F1342,0.002465887258335828
F286,0.0024609896442627593
F1253,0.0024456800004251738
F1764,0.0024450763574518706
F2095,0.002445060897190354
F1697,0.0024363528810816128
F436,0.0024295196441734453
F206,0.0024244674366059914
F1938,0.002422224066127561
F2053,0.002413292736731577
F288,0.002412049045278985
F759,0.0024090613474871177
F1887,0.0024087115519691236
F2098,0.0024074677747088842
F272,0.0024052199237668158
F490,0.0024012681114548994
F1888,0.0023987125849782853
F1250,0.002394818369886468
F2372,0.0023845087266278066
F346,0.002383454075371619
F211,0.002380448093707743
F2222,0.002364446638537415
F625,0.0023627557809847368
F28,0.002340073885914515
F538,0.0023399275508592244
F197,0.002325972451252835
F1867,0.0023230418555711726
F1879,0.002307766437728571
F1268,0.0022914573104777015
F1562,0.002291207628116741
F342,0.0022820362928479584
F366,0.002281901911060157
F397,0.0022801008060235575
F2071,0.002272375098844201
F844,0.0022638746568066554
F1902,0.0022583842634799857
F1937,0.0022565920821812093
F392,0.0022551172963414744
F353,0.0022543376361926124
F332,0.0022518999344674565
F453,0.0022323834345143803
F368,0.002225994387513491
F1829,0.002216431735493684
F239,0.0022102479393642533
F518,0.002207887389096615
F1720,0.0022040094670739
F610,0.0022031395512895997
F42,0.0022021551518322854
F245,0.002185349424628581
F536,0.0021843291882071166
F1401,0.002183586708508337
F27,0.002166708598806675
F1540,0.0021472632029847674
F2159,0.0021416405714359587
F324,0.002130047806877759
F1640,0.002127534208911247
F151,0.0021113662258053505
F1722,0.002090577202916986
F2358,0.002087351563792324
F1308,0.0020855798130328083
F1567,0.002083071856966084
F1581,0.0020790201856335515
F784,0.0020637738939679874
F1931,0.002056616947576528
F1526,0.002052973507383056
F1324,0.0020517272307450777
F334,0.0020501235524726337
F316,0.002041796863621678
F760,0.002039306721490306
F1604,0.002037095097301766
F1481,0.00203463112430271
F2007,0.0020330735817485983
F235,0.002031960726710125
F465,0.002011034273715828
F340,0.002006561410226919
F544,0.0020035328625947297
F93,0.0019939200076140857
F2019,0.001989981764165357
F467,0.001989140173464736
F657,0.001980635117838217
F2115,0.001963500380512463
F456,0.001957520453907764
F2011,0.0019508963170038291
F1820,0.0019437987421935658
F437,0.0019200615071566576
F917,0.0019157496365892744
F380,0.0019153036018066383
F1480,0.0019086197972570252
F1709,0.0019082937968860542
F1339,0.0018943745055946038
F179,0.0018922049878201696
F1572,0.0018906867646482847
F328,0.0018848458243907176
F1521,0.0018732329530685148
F337,0.0018704748517755611
F1298,0.0018671490878086905
F2136,0.001854123685428805
F479,0.0018462473159218502
F1633,0.001840070361706723
F291,0.0018294622602381874
F222,0.0018162046476315917
F907,0.0018144474488640155
F1989,0.0018125344841598476
F2080,0.0018078518460720972
F191,0.0018013114633547165
F1465,0.0018002031203941727
F412,0.0017899425391728796
F447,0.0017625943534330597
F466,0.0017603810971089007
F264,0.001754623974116306
F500,0.001736280118742318
F1686,0.0017338454584917998
F1660,0.001729396251269025
F722,0.0017268757918775983
F153,0.0017212671001163116
F83,0.0017106510419354058
F1525,0.0017051654869962032
F747,0.0017016995390961528
F1388,0.0016825203440818176
F1559,0.0016693584054762289
F1812,0.001652871169827857
F99,0.001637867200178857
F1728,0.0016321767100919181
F276,0.0016191488682645275
F2093,0.001612242039951879
F108,0.0016115292697880057
F1533,0.001608578476556912
F284,0.0016008304507486614
F2146,0.0015989361090959847
F871,0.0015949747324373272
F488,0.0015935481790216447
F2092,0.0015902892267903588
F1748,0.0015891253192369366
F713,0.0015868905321533707
F331,0.001583840151373203
F230,0.0015805983853067146
F1330,0.001579881018764538
F964,0.0015683873816214832
F261,0.0015656975568013383
F679,0.0015651194515425776
F1831,0.0015560611532335921
F462,0.0015492833641449222
F2009,0.001547439269095944
F417,0.001539819170787314
F156,0.001538927139763571
F1839,0.0015342667246268074
F2130,0.0015294964262711408
F2052,0.0015291394470238937
F92,0.0015125465425578001
F203,0.0015055026363591834
F1852,0.0015037517665016198
F1934,0.0014963668344456376
F1275,0.0014935354977000243
F1833,0.0014829682715378411
F167,0.001481926932201264
F356,0.001479711767419994
F496,0.0014701519794254427
F1394,0.0014678128985795092
F226,0.0014606795132665366
F1821,0.0014487798063772467
F29,0.0014446864702701131
F2238,0.0014417660697475735
F177,0.0014399626533508423
F1921,0.001439876436713411
F955,0.0014387572857163136
F1664,0.0014373196759749462
F2190,0.0014330424414701396
F148,0.0014282273439612052
F527,0.0014122937065764905
F1823,0.001407832712965635
F1413,0.001407277701717269
F311,0.0014061618821666574
F1450,0.0014060927750596441
F2026,0.0014060245232951993
F2141,0.0014045326110908132
F1727,0.0013997287355300007
F965,0.0013981666077615509
F1096,0.0013954667800212949
F1999,0.0013912419725839271
F1169,0.0013869405152347224
F319,0.0013822510196182696
F1676,0.0013687170833069618
F1750,0.0013623910497980163
F225,0.0013583961563120432
F2039,0.0013583239098626592
F82,0.001354516220833343
F2109,0.001350014057627974
F483,0.0013475381842149479
F2375,0.0013406076635645355
F1668,0.0013400348735467052
F698,0.0013394945816644624
F716,0.001336082561800997
F38,0.00132295382149837
F2054,0.0013221960909589236
F1716,0.0013204240569027897
F335,0.0013114840721901158
F1985,0.0013108098584402065
F1004,0.001303513106674509
F894,0.0013025647656504011
F1558,0.0012996911080357656
F1555,0.001291618913885736
F1204,0.0012908116002248809
F66,0.0012771755429094216
F2110,0.0012751959854024081
F1236,0.0012686800994399171
F163,0.001265719061395905
F348,0.0012652647585944018
F2188,0.001262009013911631
F297,0.001247470739880058
F2027,0.0012453496008728434
F2295,0.0012412455360827671
F1997,0.0012310093087000383
F1849,0.0012207438861933234
F1425,0.0012100590042262154
F2049,0.001206076791139319
F2108,0.0012019697557934471
F1512,0.0012017651960275443
F259,0.0011945986855395698
F482,0.001191076914537397
F2293,0.0011901705997869022
F327,0.0011892017523247235
F2074,0.001188917380070173
F1524,0.0011670857552802288
F34,0.0011636833902345925
F973,0.0011570084529310552
F1,0.0011557465059633823
F1461,0.0011506708991834357
F524,0.0011328868196680032
F31,0.0011112966958599488
F929,0.0011098146690844029
F470,0.0011063886304925822
F1994,0.0011047948890318853
F309,0.0011017335028804319
F1859,0.001096247211699269
F1895,0.001086861370298576
F1742,0.001081294782452
F170,0.0010745480203135944
F1281,0.0010677778872426546
F300,0.001058844809261509
F383,0.001052805083339287
F347,0.0010478762384888308
F2107,0.0010349715750281245
F1477,0.0010165751493799301
F1959,0.001011957516289953
F367,0.0010060090028563397
F752,0.001001626281860289
F1865,0.0010011635208185725
F1635,0.0009974457140631617
F176,0.0009960980391893264
F1817,0.0009922906602144923
F1819,0.0009908262314743067
F268,0.000987958375111832
F369,0.0009820356252372992
F1922,0.000981609136354797
F1345,0.0009811236076142148
F1978,0.000978367513597428
F1467,0.0009762840243104885
F1038,0.000964952474563007
F61,0.0009645538596706509
F1803,0.0009640666997522176
F1661,0.0009639711848477834
F1713,0.0009601334438710193
F2195,0.0009561469787066647
F1066,0.0009518465858344621
F413,0.0009488290202873414
F231,0.0009481733339753506
F1334,0.0009457567775904797
F162,0.0009446329087454404
F1804,0.0009422173006493812
