Feature,Mean_Absolute_SHAP
F2071,0.6235265540857535
F69,0.6231675123031332
F2367,0.6151034243120034
F1712,0.6136736904775105
F1573,0.6124497879481468
F1932,0.5862865731853912
F1317,0.5678546168146789
F1832,0.5623086559283821
F834,0.5536747538274782
F776,0.5487033542871569
F443,0.5465910130180445
F1547,0.5354749879555065
F550,0.5339113228424412
F291,0.523353866685639
F581,0.5172787594956302
F657,0.508541868055361
F810,0.5084136287294637
F1414,0.49832620581594866
F514,0.4745972608264026
F26,0.4690364909953983
F1985,0.46772900255693195
F2147,0.4455806219286428
F1333,0.43368870337376925
F240,0.43154368197781795
F720,0.42551679478862947
F1372,0.4225074706990782
F494,0.41836351747179606
F475,0.405465866105217
F602,0.40232127639152104
F279,0.40176198170179706
F620,0.3924344843831649
F2169,0.38834643319902956
F220,0.3809611246495986
F227,0.37889130828745865
F1700,0.3755138401833974
F2348,0.36528805228455546
F943,0.3602694032142807
F567,0.3541911563451322
F415,0.3505334219290749
F945,0.34233711243281617
F335,0.3412632702359447
F2289,0.3336049474722787
F1720,0.33290150512661454
F1000,0.32434386938822907
F2343,0.3179767631348146
F166,0.3090664825397134
F83,0.3085380568205912
F2241,0.30803118689973646
F2188,0.30640978275275915
F214,0.30569282864640224
F725,0.3019756676599109
F699,0.3008239249898271
F442,0.29877008300519947
F861,0.2906305871232554
F190,0.2825685836080144
F2099,0.2796859032521175
F1724,0.2771591101989349
F1215,0.2744252523630716
F235,0.27313637754493636
F296,0.2711396506654776
F2010,0.27081390960480156
F2377,0.26733465754429175
F1942,0.2648034460092127
F170,0.26209120221143206
F1890,0.2587656184905918
F155,0.2582400525605163
F162,0.2512898875184486
F54,0.23973128333100185
F342,0.23119001938822192
F506,0.2301308861667485
F2353,0.22642723911972112
F274,0.22326199716427958
F444,0.22044208338897317
F1043,0.21817852273189758
F1376,0.21354545291981092
F875,0.21201131503852128
F2031,0.20713472860822849
F100,0.2060157932463505
F1742,0.20580972069815523
F1426,0.20452607100775352
F1713,0.20158953667769325
F319,0.19730541249184613
F766,0.19694433507969505
F463,0.1929234082181589
F380,0.19057345898844186
F999,0.1866419630264858
F2281,0.1819860361224665
F2054,0.17985018733633684
F392,0.17832515571136048
F799,0.17803043619483777
F1929,0.17047904189966995
F1691,0.1664597397470598
F2249,0.1661637031191842
F1871,0.1637608868502402
F2176,0.16318766863012296
F944,0.16188891085926763
F385,0.1600015334364532
F120,0.15583599508222604
F877,0.15549048417085745
F1893,0.15228541745333452
F798,0.15199758437273964
F167,0.14939174451355303
F1262,0.14918146560188555
F513,0.14896737536039023
F480,0.14863959595955528
F1360,0.14849237964965195
F976,0.142160313383415
F2162,0.1417393667439534
F216,0.1399446857144829
F379,0.1393250731704969
F1489,0.13506092117172097
F283,0.1350290016198461
F159,0.1287012557010308
F1643,0.12793973713352708
F368,0.12395483342877425
F612,0.12372611795558257
F2363,0.12096138394135218
F1338,0.11986907445007693
F1220,0.1168034030961401
F1355,0.11646361473042965
F1589,0.11576195527347721
F93,0.11292655579174145
F1334,0.1107258295723295
F1815,0.11071741484433488
F412,0.11018187190280426
F545,0.1096427068713238
F84,0.10898292761781884
F1279,0.10710833008572347
F1264,0.10619098751941927
F762,0.105682470844301
F1012,0.10519369828196914
F1698,0.1037008991058355
F1852,0.10310737166756348
F613,0.09964205597639367
F315,0.09625139313731704
F40,0.09373179575479926
F1690,0.09360758303280774
F1449,0.09346508031400538
F382,0.09331799522335765
F192,0.09310358923878106
F2167,0.09222084914861677
F1587,0.08941115364758088
F1061,0.08868948004860118
F273,0.08784499414249404
F917,0.0877938829937166
F201,0.08767550402934028
F41,0.0875994611281742
F105,0.08727179920783068
F461,0.08660131262301234
F330,0.08654621778363122
F1575,0.0835406420402591
F625,0.08344235283562333
F1757,0.07879440790486256
F1167,0.07482164906472616
F1583,0.07369965253968205
F2086,0.07166656570457229
F323,0.07067531233700865
F1386,0.0689639996888807
F1944,0.06827781540603806
F1046,0.06738609294373506
F1995,0.06709544833948436
F599,0.06590283010303619
F1718,0.06500958421817313
F2150,0.06472294513193196
F1936,0.05727746943694827
F416,0.05618820782083896
F1366,0.055595845888991115
F202,0.054868645626800897
F2067,0.05343668885727937
F1497,0.05311126445205862
F604,0.05264442887967603
F457,0.05129053198643861
F180,0.0512648651073919
F644,0.05030093446019205
F941,0.04999806743205633
F1377,0.04997720007897333
F449,0.04966901061256549
F464,0.049470190983660296
F1461,0.04920600707042103
F1836,0.048816003065660515
F17,0.048628085131511296
F1250,0.0484866759350049
F1574,0.04798528972223022
F48,0.04789665554136582
F1878,0.045632959475666444
F835,0.04456649912901427
F1299,0.04396046065135591
F946,0.04376033575179079
F1591,0.04293661756090918
F234,0.04046003181257655
F606,0.04005473321828841
F256,0.03982519873616019
F1092,0.03812120749747179
F131,0.037936376872579405
F326,0.03777264397772866
F206,0.03699720850285791
F451,0.03516141000527893
F2335,0.034856924840818135
F2131,0.03462483330692571
F188,0.03444738778888645
F640,0.0343471989687606
F515,0.03430318274778847
F249,0.03421011976757492
F669,0.03349879896616438
F173,0.03341010411887271
F263,0.0328088126423982
F844,0.03272466651041829
F1320,0.0326275020052926
F2185,0.032004010662961255
F1758,0.031658995323875026
F645,0.03151155607352643
F1770,0.03125269024227884
F787,0.031241661715505666
F1523,0.03079180547848036
F1662,0.03011273861493652
F345,0.030025676799026048
F1707,0.029416693829088077
F1843,0.02878265970175766
F423,0.02865115531903139
F2063,0.02856236825618026
F3,0.028522698036268102
F1144,0.02830631845956655
F1833,0.028186345760778924
F1806,0.028004803112622684
F826,0.0277356956352939
F489,0.02753679695970907
F350,0.02706261437693678
F179,0.026720533885000026
F184,0.02652285956913038
F817,0.026379369742648005
F140,0.026335238860280347
F430,0.026266628322558622
F1631,0.026079571744634922
F1412,0.02583861338930386
F1650,0.02527791519200597
F493,0.025006661452830564
F117,0.02485479807449054
F1385,0.02455258762654381
F378,0.024195037128483945
F205,0.023935623550188568
F138,0.023927593350203075
F165,0.023902453416465675
F1994,0.023828902276365187
F1341,0.023766351942683586
F1816,0.023646287262129313
F2028,0.023479834554114613
F537,0.023287907849695044
F424,0.022771849896620726
F2268,0.022480607252204434
F678,0.02237343044566508
F2209,0.02226807114677893
F2260,0.022202289226802292
F1381,0.021943200000801757
F837,0.02184338951809164
F346,0.02183087398258626
F369,0.021368968964932115
F2007,0.02119109276138719
F1133,0.021074936589709083
F2097,0.020995893413440953
F303,0.02095720960415024
F1486,0.020820626449314823
F306,0.020473693864289
F2093,0.0199202134811285
F530,0.01979588379517761
F36,0.019150109355014287
F2125,0.01878124287285635
F764,0.018426041331086204
F181,0.018178570451771778
F2197,0.01794443995798436
F1657,0.01766209044462929
F2154,0.017645325924972786
F1017,0.017335986814473348
F1752,0.017329143992749728
F2262,0.01696565803091819
F2059,0.016867884307061203
F1085,0.016641438805199936
F482,0.016490942089680563
F828,0.01646379200229033
F147,0.016062874338865767
F158,0.015977195679847928
F1809,0.015841128069202216
F1967,0.015553605930206582
F1608,0.01554952066112413
F1961,0.015346497255307253
F264,0.015116121813015138
F389,0.014742558526970827
F538,0.014518911774069665
F1570,0.014513730070132083
F1322,0.014331297340096014
F102,0.014191706127212853
F2245,0.01416400920944397
F259,0.013877268309518692
F478,0.01384426923095016
F1013,0.013447447159868578
F529,0.01339445127614356
F765,0.012796127374316369
F448,0.012720665689214827
F1454,0.012629747650822976
F577,0.01254924224392256
F1255,0.012235001797328945
F647,0.012148564237358588
F1640,0.012049256715617072
F2021,0.012047595964796815
F1083,0.012022115445144943
F145,0.01199895832051487
F1557,0.011726318795703867
F922,0.011653937551253515
F1762,0.011535452191272697
F1760,0.01141951969491253
F420,0.011391758674591
F417,0.011264887429573187
F1507,0.011201529359295888
F708,0.011022603793092037
F1857,0.010992027338944355
F116,0.010974630543339947
F541,0.010810005478389851
F1251,0.010783761821342532
F1594,0.010626201067866076
F55,0.010526290403340625
F164,0.01041523915206653
F1696,0.010367989556911494
F1432,0.010263387619183046
F2352,0.0100807792094347
F595,0.009862442728454674
F2,0.009834000582952774
F275,0.009668432353101337
F260,0.009526064898457084
F1037,0.009467795542466056
F772,0.009455996209055465
F236,0.009413641863177915
F266,0.009343994422746471
F1765,0.009322387663370138
F499,0.00929706657712064
F746,0.009256601993308014
F288,0.00923453554697256
F1804,0.009171713747631762
F1780,0.009126698178320066
F1946,0.009057894349545719
F2103,0.008922800037208047
F1348,0.008757748772775256
F163,0.008755911180916922
F1544,0.0087163670998503
F137,0.008629406091332975
F2324,0.008603326050313359
F1869,0.008509456983261828
F324,0.008488401938737244
F284,0.008438353155479934
F878,0.00843137676304729
F1751,0.008227976755168792
F558,0.008190233686215749
F813,0.008153489155588105
F1626,0.008076159237748164
F1335,0.008006947422531165
F1584,0.00796483049133118
F198,0.007941860591695427
F694,0.00793342384994625
F63,0.007924660332571724
F815,0.007866489896719297
F551,0.007847312210632817
F2141,0.007840327672086372
F1,0.007800946046607133
F689,0.007747794351955051
F800,0.007743391398288865
F1802,0.007726851253013667
F2096,0.007663684632848912
F476,0.007531793695072765
F2243,0.007493693384432912
F438,0.007447855835554758
F939,0.007417843185957053
F1949,0.007402234370052832
F1611,0.0073671904274220795
F1592,0.007363692427069307
F1420,0.007344604614849234
F2378,0.007342060326399884
F1828,0.007315917155631041
F1628,0.007283638549026713
F902,0.007244696726751497
F1863,0.00721897775158375
F1500,0.007196830650171902
F2279,0.007143095565711783
F1840,0.007141427868218082
F1559,0.0069940759305505374
F2314,0.006964329612084574
F1438,0.006884975463270444
F2126,0.006867503653688425
F1511,0.006776362197023669
F847,0.006763665526874818
F1866,0.006690857574035822
F426,0.006528552359778753
F2107,0.006312906161546094
F971,0.006249376082313585
F1699,0.006185228712817706
F1347,0.00591969500676981
F1091,0.005913005000212202
F512,0.005903285897839826
F1397,0.00586493250792824
F510,0.005864651030073073
F208,0.005751533997498909
F836,0.005743458573608489
F313,0.005708287318510754
F931,0.0056957905212631915
F2175,0.005605835511162044
F741,0.005592890035986254
F557,0.005540944392057585
F1769,0.005489646910758685
F2211,0.0054793396376055575
F2053,0.00544498709828741
F497,0.0053443065341689565
F1947,0.005312141163920937
F42,0.005237639068878956
F1900,0.005211781441771266
F152,0.00511013438816375
F1953,0.004949599846334776
F61,0.004938033615222339
F2189,0.004894366435221165
F1562,0.004845139177451518
F1889,0.00484038765093134
F2048,0.004685748784134294
F2325,0.004649260569071317
F1632,0.004622833131209026
F5,0.0045669189269394
F1502,0.0045479295841786525
F743,0.004539889704133967
F896,0.004532817806258406
F1633,0.004498628524202181
F394,0.0044885589567900735
F1854,0.004439046769416481
F1902,0.004154037986383484
F2113,0.004134954508026889
F2208,0.004110021435997985
F754,0.004083292689675481
F556,0.004062831840700406
F2155,0.004049158579185095
F1425,0.004031741021430347
F281,0.004030800136239611
F2272,0.003903362350002068
F1982,0.0038997706859325324
F903,0.003885074612371498
F722,0.0038324726300604907
F199,0.0038160535402154056
F634,0.0038123507720164212
F1745,0.003694450053617596
F979,0.0036940405703113424
F486,0.003682676290553185
F818,0.0036063475345260595
F1542,0.0036057792844109413
F2381,0.0035161848219952855
F1772,0.0035158122967789028
F1761,0.0034731029989678724
F1039,0.0034677779727489448
F340,0.0034392529681685513
F481,0.0034281414660585333
F2065,0.003426118946649763
F2013,0.0033962632269780935
F231,0.003364811107268638
F916,0.0033345994237479323
F525,0.003324781616737684
F587,0.003235820628881344
F386,0.0032306516580359124
F1649,0.003217190150045355
F226,0.0031628332697887403
F1598,0.0031444973407563103
F734,0.003128311916942304
F508,0.003070953688606663
F503,0.0030577580481292188
F257,0.0030452079373796074
F521,0.003018896474996316
F2094,0.0030100306259086347
F616,0.0029912834635570005
F115,0.0029871595887929554
F1219,0.0029484247964979204
F1363,0.0029332983066256884
F285,0.0029066141448008775
F354,0.002900645009404239
F784,0.002882186743877001
F1206,0.00280983812353756
F1450,0.0027976776276916215
F185,0.0027847882579198962
F1263,0.0027786410211455025
F1938,0.002772804384596988
F2005,0.0027455781910437392
F1970,0.0027424878327092874
F2195,0.0027020396516241724
F364,0.0026944865722838725
F433,0.002690120337257062
F576,0.002658849477470707
F219,0.0026339936316300957
F969,0.0025863643416450203
F1603,0.0025797621179262085
F1624,0.0025738713925193635
F1819,0.002529376047497613
F1105,0.002510264424015143
F2297,0.0025036961907599284
F1416,0.0024908642208383057
F996,0.002471000419468359
F1652,0.0024696927374327103
F1849,0.0024524240857058525
F600,0.002452279221856852
F1313,0.002388917006506301
F1405,0.0023610909290887037
F592,0.002326084555759298
F1682,0.0023250371201491457
F2036,0.002285886400180037
F1975,0.0022594356654326323
F1655,0.0022067904490889407
F579,0.0021745853580843006
F2135,0.0021690502100502863
F615,0.002166279218314722
F696,0.002091619180868102
F73,0.002084499722388025
F1306,0.0020820768907594926
F1467,0.002079339665495529
F2079,0.002075954815272187
F1204,0.002066254322254277
F1706,0.0020474946788080735
F1271,0.002015752419115707
F697,0.002012572045173113
F871,0.0019636922740688583
F738,0.0019607878238675387
F535,0.0019516953995406153
F1895,0.0019437710726180582
F1554,0.0019367288872926159
F334,0.001936543719514673
F1294,0.0019339686900517496
F1737,0.0018895579018937615
F1728,0.0018866654912353402
F488,0.0018692598192673003
F1056,0.0018692551396783362
F1422,0.0018380969909956497
F2214,0.0018096841039168521
F692,0.0017861507788949134
F371,0.0017788173583392583
F2160,0.0017653350853713823
F130,0.0017413174306770596
F928,0.0017294887286273242
F2215,0.0017269470600141223
F1667,0.001722226794451579
F1436,0.001693211716661925
F1403,0.0016771280293928822
F151,0.0016708261676994097
F9,0.0016562784343882118
F329,0.0016468900072634015
F195,0.0016441270336867778
F1237,0.0016311810391787425
F108,0.0016171175824460926
F212,0.0015978900470843972
F827,0.0015964853863633152
F769,0.001584165295529499
F838,0.0015762064691271457
F1925,0.0015709284395373075
F598,0.001568586854404547
F1296,0.0015641433863661548
F1184,0.0015562057635524454
F1580,0.0015520538951048417
F106,0.0015359397186267458
F1546,0.0015129953891087472
F1883,0.0015055998459466726
F591,0.0015008304374848256
F1648,0.0014723958340009066
F81,0.0014397359228758577
F373,0.001413466575019963
F580,0.001411525934437054
F98,0.0013907828296523643
F13,0.0013900795052420132
F683,0.0013884934368048247
F1983,0.001367667012751593
F546,0.001362301399974293
F384,0.0013471402672917414
F1242,0.0013444555630087057
F89,0.0013404228884099716
F1504,0.001338350418802718
F2193,0.0013376009392301528
F1844,0.0013245332368688107
F2128,0.0013215090505743587
F1462,0.0013041297128421018
F1651,0.0012989635535154988
F1491,0.0012935811272452805
F984,0.0012843174885533736
F1644,0.0012768738514908377
F1515,0.00127010919228351
F1791,0.001265672016667901
F589,0.0012643313262313354
F952,0.0012557791075239917
F1829,0.0012488101057499278
F1800,0.0012448297845358404
F583,0.0012442353913124833
F1387,0.0012305595710151748
F30,0.0012304435162192918
F458,0.0012209877753881423
F761,0.0012198483668419738
F87,0.0011824335212096567
F352,0.0011721119309402804
F998,0.0011709888740538531
F428,0.0011664625897182125
F1677,0.0011591211282931911
F88,0.001153375173680083
F1445,0.0011511120914954299
F49,0.0011480271778370318
F7,0.0011399403198088796
F1446,0.0011390856198652724
F751,0.00113267803928755
F1935,0.0011318920663754785
F491,0.00112384578362021
F1253,0.0011230795030306058
F1738,0.00111421882922443
F2187,0.0011114695087474486
F1268,0.0011024349786273194
F522,0.0011022229409668957
F715,0.0010972237090601214
F1792,0.0010938639667974807
F1634,0.0010913361656681151
F405,0.0010842633991710667
F75,0.0010790535519330784
F1862,0.0010774711641433191
F1470,0.001072726702358895
F1225,0.0010656434769836971
F1327,0.0010628813783902446
F1212,0.0010568348022143349
F141,0.0010565447758288317
F763,0.0010558573360442305
F150,0.0010556702820168082
F1919,0.0010235770165803008
F736,0.0010148946580282004
F597,0.0009970192800795217
F127,0.0009954580954047174
F247,0.0009936210023435716
F1914,0.0009925199153329185
F771,0.0009861103553070072
F299,0.0009833693360220635
F608,0.0009792981870374252
F1210,0.0009780236695074035
F1222,0.0009640291064006136
F2026,0.0009608249478662053
F1337,0.0009574547151250917
F973,0.0009506623485942536
F197,0.0009358719481947046
F1543,0.0009272597505756748
F2319,0.0009258307739186493
F573,0.0009219441703848466
F1138,0.0009208982708921633
F421,0.0009181690768122914
F1931,0.000913127642866153
F955,0.0009124997109640025
F872,0.0009038104160537794
F370,0.0009014557108610516
F422,0.0009008611236803897
F2316,0.0008965355175789569
F1799,0.0008865746023867182
